provider_a,provider_b,shared_exact_ips,shared_asns,top_asn_org,sample_shared_prefixes
Anonine,BoxPN,290,31,M247,80.90.55.0/24 (14); 167.88.63.0/24 (11); 162.251.62.0/24 (11); 180.149.228.0/24 (11); 77.243.183.0/24 (11)
Anonine,EasyHideIP,285,30,M247,80.90.55.0/24 (14); 167.88.63.0/24 (11); 162.251.62.0/24 (11); 180.149.228.0/24 (11); 77.243.183.0/24 (11)
Anonine,FrootVPN,285,30,M247,80.90.55.0/24 (14); 167.88.63.0/24 (11); 162.251.62.0/24 (11); 180.149.228.0/24 (11); 77.243.183.0/24 (11)
BoxPN,EasyHideIP,285,30,M247,80.90.55.0/24 (14); 167.88.63.0/24 (11); 162.251.62.0/24 (11); 180.149.228.0/24 (11); 77.243.183.0/24 (11)
BoxPN,FrootVPN,285,30,M247,80.90.55.0/24 (14); 167.88.63.0/24 (11); 162.251.62.0/24 (11); 180.149.228.0/24 (11); 77.243.183.0/24 (11)
EasyHideIP,FrootVPN,285,30,M247,80.90.55.0/24 (14); 167.88.63.0/24 (11); 162.251.62.0/24 (11); 180.149.228.0/24 (11); 77.243.183.0/24 (11)
Ivacy,PureVPN,27,9,CDNEXT,103.62.50.0/24 (3); 95.153.32.0/24 (3); 144.48.39.0/24 (3); 79.127.155.0/24 (2); 149.50.217.0/24 (1)
Froot,FrootVPN,21,10,GLESYS glesys.com,178.73.195.0/24 (10); 199.58.164.0/24 (2); 23.111.78.0/24 (1); 45.12.222.0/24 (1); 50.2.250.0/24 (1)
Getflix,Smartdnsproxy,18,15,AS-VULTR,95.179.220.0/24 (1); 108.61.229.0/24 (1); 128.199.22.0/24 (1); 143.110.240.0/24 (1); 163.123.140.0/24 (1)
Sentinel dVPN,TorGuard,17,5,M247,94.46.179.0/24 (1); 139.28.217.0/24 (1); 146.70.54.0/24 (1); 146.70.76.0/24 (1); 185.189.115.0/24 (1)
GhostPath,SlickVPN,11,10,UK2NET-AS,91.109.246.0/24 (1); 139.162.55.0/24 (1); 151.236.14.0/24 (1); 162.218.229.0/24 (1); 192.187.101.0/24 (1)
Anonine,Froot,10,8,FSNET-1,199.58.164.0/24 (2); 198.57.26.0/24 (1); 23.111.78.0/24 (1); 45.12.222.0/24 (1); 50.2.250.0/24 (1)
BoxPN,Froot,10,8,FSNET-1,199.58.164.0/24 (2); 198.57.26.0/24 (1); 23.111.78.0/24 (1); 45.12.222.0/24 (1); 50.2.250.0/24 (1)
EasyHideIP,Froot,10,8,FSNET-1,199.58.164.0/24 (2); 198.57.26.0/24 (1); 23.111.78.0/24 (1); 45.12.222.0/24 (1); 50.2.250.0/24 (1)
IPVanish,StrongVPN,2,1,AS-INCX,216.131.86.0/24 (2)
